Latitude,Longitude,Time
23.5050483333,87.3208983333,16:58:39
23.5050616667,87.3208483333,16:58:40
23.5050733333,87.3207833333,16:58:41
23.50509,87.3207016667,16:58:42
23.5051016667,87.3206366667,16:58:43
23.5051183333,87.32054,16:58:44
23.505135,87.3204583333,16:58:45
23.505155,87.3203766667,16:58:46
23.5051716667,87.3202783333,16:58:47
23.5051916667,87.3201983333,16:58:48
23.5052033333,87.3201,16:58:49
23.50522,87.3200183333,16:58:50
23.5052366667,87.3199216667,16:58:51
23.5052516667,87.3198233333,16:58:52
23.5052733333,87.3197416667,16:58:53
23.5052883333,87.319645,16:58:54
23.50531,87.3195466667,16:58:55
23.505325,87.3194483333,16:58:56
23.5053466667,87.3193516667,16:58:57
23.5053616667,87.3192533333,16:58:58
23.5053816667,87.3191716667,16:58:59
23.5054033333,87.319075,16:59:00
23.5054233333,87.3189766667,16:59:01
23.5054433333,87.31888,16:59:02
23.5054633333,87.3187816667,16:59:03
23.505485,87.3186833333,16:59:04
23.505505,87.3185866667,16:59:05
23.505525,87.3184716667,16:59:06
23.505545,87.318375,16:59:07
23.505565,87.3182616667,16:59:08
23.5055866667,87.3181633333,16:59:09
23.50561,87.31805,16:59:10
23.50563,87.317935,16:59:11
23.505655,87.3178216667,16:59:12
23.505675,87.3177083333,16:59:13
23.5057,87.3175933333,16:59:14
23.505725,87.31748,16:59:15
23.505745,87.317365,16:59:16
23.5057683333,87.317235,16:59:17
23.5057933333,87.3171216667,16:59:18
23.5058133333,87.3170083333,16:59:19
23.5058416667,87.3168933333,16:59:20
23.5058666667,87.31678,16:59:21
23.5058866667,87.3166816667,16:59:22
23.5059033333,87.316585,16:59:23
23.505915,87.316535,16:59:24
23.50592,87.3165033333,16:59:25
23.5059283333,87.31647,16:59:26
23.5059366667,87.3164383333,16:59:27
23.5059433333,87.3163883333,16:59:28
23.5059566667,87.31634,16:59:29
23.5059683333,87.316275,16:59:30
23.50598,87.31621,16:59:31
23.5059966667,87.3161283333,16:59:32
23.5060083333,87.3160633333,16:59:33
23.506025,87.3159816667,16:59:34
23.5060383333,87.3159016667,16:59:35
23.5060533333,87.31582,16:59:36
23.506075,87.3157216667,16:59:37
23.50609,87.31564,16:59:38
23.506115,87.3155433333,16:59:39
23.506135,87.315445,16:59:40
23.506155,87.3153466667,16:59:41
23.5061766667,87.31525,16:59:42
23.5061966667,87.3151366667,16:59:43
23.5062166667,87.3150383333,16:59:44
23.5062333333,87.314925,16:59:45
23.50625,87.3148266667,16:59:46
23.506265,87.3147283333,16:59:47
23.50629,87.314615,16:59:48
23.506315,87.3145166667,16:59:49
23.5063383333,87.31442,16:59:50
23.5063583333,87.3143216667,16:59:51
23.5063833333,87.3142083333,16:59:52
23.5064033333,87.31411,16:59:53
