,zone_class,time_level,next_stop_distance,total_waiting_time,wifi_count,honks,Population_class,rsi,week_class,bus_stop,latitude,longitude
1472,0.0,4.0,522.603957873,1.0,0.0,0.0,1.0,8.691658,0.0,0.0,23.50326308,87.30751196
8,1.0,1.0,717.6463843910001,7.0,0.0,0.0,2.0,7.264314433333332,1.0,1.0,23.52832316,87.31103061
1014,0.0,4.0,46.602840326899994,1.0,0.0,2.0,1.0,8.688064500000001,1.0,0.0,23.49672245,87.31327370000002
1506,1.0,4.0,28.8120294416,1.0,0.0,0.0,1.0,7.5520169999999975,1.0,0.0,23.53908981,87.29327931
1060,1.0,4.0,175.423987987,1.0,0.0,0.0,1.0,8.658142,0.0,0.0,23.53515806,87.29741283
452,0.0,2.0,363.73944992300005,2.0,0.0,0.0,2.0,8.744329800000001,0.0,0.0,23.51089572,87.31073027
253,1.0,4.0,1582.54824247,1.0,0.0,1.0,1.0,7.42033365,1.0,1.0,23.52827322,87.31114627
1327,2.0,4.0,385.846603326,4.0,7.0,7.0,1.0,8.17876348888889,1.0,0.0,23.55899305,87.28465265
896,1.0,4.0,226.63722805900002,6.0,0.0,0.0,1.0,7.110207120000003,0.0,1.0,23.53754245,87.29678102
1460,1.0,4.0,33.0840124024,1.0,0.0,0.0,1.0,8.8784025,0.0,0.0,23.54424269,87.28846987
880,1.0,4.0,492.20160757400004,3.0,12.0,3.0,1.0,8.473309400000002,0.0,1.0,23.55119211,87.28598866
1582,2.0,4.0,573.709971154,5.0,6.0,0.0,1.0,8.889505645454548,0.0,0.0,23.56414135,87.28337429
623,1.0,4.0,2248.87898192,1.0,0.0,0.0,1.0,8.0835345,0.0,0.0,23.52575989,87.31119078
345,1.0,4.0,207.953333734,3.0,20.0,6.0,1.0,8.847679166666667,0.0,0.0,23.53589911,87.29589371
1436,1.0,4.0,99.78982544590001,5.0,15.0,0.0,1.0,7.7576662421052625,1.0,1.0,23.55244067,87.28696353
262,1.0,4.0,259.317363731,1.0,0.0,2.0,1.0,9.883972,1.0,0.0,23.54429369,87.28833556
1321,1.0,4.0,249.45282749700002,3.0,9.0,4.0,1.0,8.24202566,1.0,1.0,23.54820381,87.28359022
150,1.0,4.0,237.50819336900003,3.0,18.0,0.0,1.0,7.697263116666665,0.0,1.0,23.537603,87.29682942
472,1.0,4.0,48.1287592879,59.0,0.0,0.0,1.0,6.46803814680851,0.0,0.0,23.53573779,87.29747904
640,1.0,4.0,44.770455266099994,2.0,0.0,7.0,1.0,9.93783857,0.0,0.0,23.53550913,87.29662731
1665,2.0,1.0,359.051391103,1.0,4.0,2.0,1.0,8.546806499999999,0.0,0.0,23.56410683,87.28339876
1592,1.0,4.0,15.5565637316,15.0,1.0,17.0,1.0,9.296251595238095,1.0,0.0,23.53509398,87.29773259999996
550,1.0,2.0,144.299070318,15.0,39.0,0.0,1.0,7.520429116129033,0.0,0.0,23.53616704,87.29589748
928,1.0,2.0,62.554948513599996,3.0,0.0,0.0,1.0,8.2855989,0.0,0.0,23.53538692,87.29705255
488,0.0,4.0,428.042075499,10.0,7.0,0.0,1.0,9.04647748,0.0,0.0,23.49322734,87.31629217
1520,0.0,4.0,20.8178884737,1.0,0.0,0.0,1.0,9.6912385,0.0,0.0,23.49335910000001,87.31662158
1171,1.0,2.0,340.838855111,1.0,0.0,0.0,1.0,9.011283500000001,1.0,1.0,23.53767925,87.29674462
146,1.0,4.0,30.084672924,3.0,0.0,0.0,1.0,1.987492868333333,0.0,1.0,23.53932677,87.29311769
1617,1.0,3.0,207.692753813,7.0,7.0,2.0,0.0,8.860048791666667,0.0,0.0,23.54293063,87.28614973
402,1.0,4.0,165.046398861,1.0,0.0,1.0,1.0,9.14176925,1.0,1.0,23.54285326,87.286386
954,1.0,3.0,271.615984055,1.0,0.0,0.0,0.0,8.928680499999997,0.0,0.0,23.53595191,87.29580325
1574,1.0,4.0,115.40956543,4.0,14.0,0.0,1.0,8.711308170833332,0.0,0.0,23.54478208,87.28222062
659,2.0,4.0,338.65507883,2.0,0.0,0.0,1.0,9.499298,0.0,1.0,23.55802865,87.28543695
1372,2.0,4.0,1433.14943835,2.0,4.0,0.0,1.0,7.480190274999999,0.0,0.0,23.56394012,87.28380998
463,1.0,4.0,645.448277569,0.0,0.0,0.0,1.0,9.939041,0.0,1.0,23.54999066,87.28509191
1349,0.0,4.0,107.598622089,16.0,3.0,0.0,1.0,9.956513433333336,0.0,0.0,23.49406427,87.31703645
186,1.0,1.0,489.113719778,5.0,10.0,0.0,2.0,8.293423122222222,1.0,1.0,23.54539154,87.28128385
1147,1.0,4.0,427.10929040900004,4.0,0.0,7.0,1.0,8.960603444444445,0.0,1.0,23.54449327,87.28279175
1224,1.0,2.0,237.83470715299998,1.0,0.0,0.0,1.0,8.0883178,0.0,0.0,23.54321048,87.2902515
608,1.0,4.0,776.352948133,8.0,8.0,0.0,1.0,9.33904722,0.0,0.0,23.54640769,87.29283945
143,1.0,4.0,238.906609537,2.0,0.0,0.0,1.0,7.846506866666666,0.0,0.0,23.54399036,87.28410309
751,1.0,2.0,18.426613993,1.0,7.0,0.0,1.0,7.215636999999999,0.0,0.0,23.53691138,87.30159157
981,1.0,4.0,262.768832449,8.0,2.0,0.0,1.0,6.897866977777778,0.0,1.0,23.5426913,87.28656111
197,2.0,3.0,668.255549626,2.0,0.0,0.0,1.0,8.6298858,0.0,0.0,23.55601106,87.2863425
883,2.0,4.0,908.356290559,2.0,0.0,2.0,1.0,9.1687015,0.0,0.0,23.56395954,87.28386349
279,0.0,1.0,59.396198591099996,1.0,0.0,0.0,2.0,7.4335021500000025,0.0,0.0,23.49998811,87.30628876
293,1.0,1.0,51.37106086399999,2.0,0.0,0.0,2.0,7.9775851,0.0,1.0,23.55125946,87.28598904
1529,1.0,4.0,456.617646482,1.0,0.0,0.0,1.0,7.5436323499999975,0.0,0.0,23.53696676,87.30154953
400,1.0,4.0,101.510620663,3.0,0.0,5.0,1.0,8.444520644444445,1.0,0.0,23.54433542,87.28349582
122,1.0,4.0,123.299769412,7.0,33.0,9.0,1.0,8.493537808333334,0.0,0.0,23.53775867,87.2967225
1207,0.0,2.0,169.44429027299998,16.0,5.0,0.0,2.0,6.844984403586206,0.0,1.0,23.50028936,87.3059064
202,1.0,3.0,455.498383928,4.0,18.0,0.0,0.0,8.752141926315787,0.0,1.0,23.54170301,87.28994761
835,0.0,4.0,405.612043065,1.0,0.0,0.0,1.0,8.677291666666667,0.0,1.0,23.49482294,87.31682492
246,0.0,4.0,143.560650834,129.0,0.0,97.0,1.0,9.97778447621359,1.0,0.0,23.49424442,87.31719989
1439,2.0,4.0,385.846603326,4.0,7.0,0.0,1.0,8.17876348888889,1.0,0.0,23.55899305,87.28465265
1593,1.0,4.0,296.69915472,1.0,0.0,1.0,1.0,8.3002015,1.0,0.0,23.53512935,87.29758496
1577,1.0,4.0,169.688057581,1.0,0.0,0.0,1.0,8.759887500000001,0.0,1.0,23.5512991,87.28596343
1153,2.0,4.0,266.366000623,3.0,0.0,6.0,1.0,9.056775383333333,0.0,0.0,23.56143259,87.28355943
1426,1.0,4.0,41.5573371519,1.0,31.0,0.0,1.0,7.4083632,1.0,0.0,23.53911068,87.29368633
384,2.0,4.0,23.796682018200002,3.0,0.0,0.0,1.0,8.123897999999999,0.0,0.0,23.56167157,87.28341355
1477,1.0,4.0,1102.51839743,5.0,8.0,0.0,1.0,8.541911763636364,0.0,0.0,23.53513573,87.29754036
854,1.0,4.0,106.615334354,1.0,0.0,0.0,1.0,8.410339,0.0,0.0,23.53507638,87.29737171
219,0.0,4.0,1281.95378704,54.0,9.0,0.0,1.0,9.222671711111113,0.0,0.0,23.49326216,87.3163048
641,1.0,4.0,51.7966052947,1.0,0.0,1.0,1.0,9.812141,0.0,0.0,23.53546876,87.29706426
1,0.0,1.0,46.9411129538,3.0,10.0,0.0,2.0,7.5600966375,1.0,0.0,23.49409032,87.31705935
112,0.0,4.0,131.57980258799998,103.0,11.0,92.0,1.0,9.462330049275367,0.0,0.0,23.49418718,87.31712869
698,1.0,1.0,674.064586891,1.0,0.0,2.0,2.0,8.518073999999999,1.0,1.0,23.5453337,87.28139171
1604,1.0,4.0,170.621442234,2.0,9.0,2.0,1.0,7.431508333333332,1.0,1.0,23.55123084,87.28595073
951,1.0,3.0,158.121792585,5.0,19.0,0.0,0.0,8.06437495,0.0,1.0,23.53756236,87.29675729
1471,0.0,4.0,377.012733547,7.0,4.0,0.0,1.0,9.401668944444443,0.0,1.0,23.50021843,87.30588503
1410,0.0,4.0,15.147940860699999,1.0,0.0,0.0,1.0,8.13021865,1.0,0.0,23.49341828,87.31661995
1409,0.0,4.0,23.8857612127,17.0,5.0,0.0,1.0,8.555761744,1.0,0.0,23.49363099,87.31658728
1291,1.0,2.0,645.012727498,1.0,3.0,0.0,1.0,6.7751005000000015,0.0,0.0,23.5535825,87.28655852
1517,2.0,4.0,385.846603326,15.0,3.0,0.0,1.0,8.761213694736844,1.0,0.0,23.55560932,87.28549151
441,1.0,2.0,836.3842790169998,5.0,15.0,0.0,1.0,8.154359233333334,0.0,1.0,23.54170278,87.28995490000001
1136,1.0,4.0,128.299349053,72.0,12.0,68.0,1.0,9.363056417741934,0.0,0.0,23.53512001,87.29778639
1256,1.0,1.0,1383.36499588,2.0,11.0,5.0,2.0,7.469416249999999,0.0,0.0,23.53704469,87.30163995
1397,1.0,1.0,171.04841535100002,1.0,0.0,0.0,2.0,9.600258,0.0,1.0,23.54704867,87.28261613
663,1.0,4.0,20.9175170374,13.0,11.0,0.0,1.0,9.06400529130435,0.0,1.0,23.55003794,87.28511853
1538,2.0,4.0,908.356290559,2.0,0.0,0.0,1.0,9.1687015,0.0,0.0,23.56395954,87.28386349
1257,1.0,1.0,63.2048769141,32.0,0.0,20.0,2.0,7.045837753488373,0.0,1.0,23.52817316,87.31115305
1491,0.0,4.0,19.9924386797,1.0,0.0,0.0,1.0,8.627013999999999,1.0,0.0,23.49315101,87.3164234
317,1.0,4.0,222.65024271299998,7.0,22.0,5.0,1.0,9.11438459375,0.0,1.0,23.53751894,87.29673427
648,1.0,4.0,38.9473357561,4.0,0.0,5.0,1.0,8.6262157,0.0,0.0,23.53562016,87.29650031
1434,1.0,4.0,166.47903313,3.0,8.0,0.0,1.0,7.82064211,1.0,1.0,23.55003036,87.28501104
1479,1.0,4.0,656.1460548169999,1.0,0.0,0.0,1.0,9.8121415,0.0,0.0,23.5443354,87.28834719
709,1.0,1.0,1470.28171051,0.0,0.0,0.0,2.0,8.253525,1.0,0.0,23.53616631,87.2996642
1382,0.0,1.0,964.0890670560001,1.0,0.0,0.0,2.0,7.2443618,0.0,0.0,23.51064962,87.31059227
1282,1.0,2.0,222.691783283,33.0,16.0,0.0,1.0,8.503899440000003,0.0,0.0,23.53587754,87.29594954
972,1.0,4.0,303.00503281,20.0,31.0,0.0,1.0,8.378415019999998,0.0,1.0,23.53761897,87.29672151
627,2.0,4.0,28.915299091399998,96.0,0.0,87.0,1.0,8.303033505285713,0.0,1.0,23.56421409,87.28311404
632,2.0,4.0,1038.21935112,2.0,0.0,3.0,1.0,9.308563166666667,0.0,0.0,23.55932345,87.28478859
1306,0.0,4.0,1845.27884603,2.0,1.0,4.0,1.0,8.31696315,1.0,0.0,23.51043676,87.31054653
1400,1.0,1.0,82.7391616549,2.0,4.0,0.0,2.0,8.395973121428572,0.0,1.0,23.55246526,87.286971
1408,0.0,4.0,20.8040716906,2.0,0.0,0.0,1.0,8.428298666666667,1.0,0.0,23.49381295,87.31663475
1248,1.0,1.0,25.1786298156,2.0,45.0,3.0,2.0,7.998133333333333,0.0,0.0,23.5391706,87.29337589
1639,1.0,4.0,436.042955264,3.0,4.0,2.0,1.0,8.103580475000001,0.0,0.0,23.53686958,87.30157091
1254,1.0,1.0,101.02061851399999,220.0,14.0,213.0,2.0,9.368840746183206,0.0,1.0,23.53570091,87.29768858
1371,1.0,4.0,1433.14943835,1.0,0.0,0.0,1.0,7.420333800000001,0.0,1.0,23.55119727,87.28591869
1354,0.0,4.0,217.03621133400003,1.0,0.0,0.0,1.0,9.1405715,0.0,0.0,23.49912688,87.3088276
1614,1.0,3.0,151.809252056,6.0,7.0,5.0,0.0,8.679985031249998,0.0,1.0,23.54823398,87.2836525
1549,1.0,2.0,62.8052785823,1.0,0.0,0.0,1.0,8.4258957,1.0,0.0,23.53539289,87.29705711
795,2.0,3.0,703.454730603,17.0,6.0,11.0,1.0,9.24900395813954,1.0,0.0,23.55939784,87.28472892
645,1.0,4.0,108.160490674,1.0,0.0,0.0,1.0,8.613838000000001,0.0,0.0,23.53524257,87.29880775
1012,0.0,4.0,407.14843009599997,10.0,4.0,12.0,1.0,9.56859927633333,1.0,1.0,23.50367907,87.30778104
556,1.0,2.0,533.261782865,4.0,12.0,0.0,1.0,8.543814433333333,0.0,0.0,23.53582894,87.29613016
681,1.0,4.0,1714.93765668,4.0,7.0,0.0,1.0,9.09627715,0.0,0.0,23.53585012,87.29591062
577,1.0,3.0,255.336044867,7.0,25.0,5.0,0.0,8.941020192307693,0.0,0.0,23.53891219,87.2947358
1109,1.0,3.0,24.0827483734,1.0,0.0,2.0,0.0,8.4247055,0.0,0.0,23.53914192,87.29343490000002
1266,0.0,2.0,16.682012814,21.0,6.0,0.0,2.0,2.7888447740000006,0.0,0.0,23.49324626,87.31633463
1183,2.0,2.0,395.04642035,19.0,2.0,0.0,1.0,8.159959061538462,0.0,0.0,23.55593189,87.28619469
524,1.0,3.0,17.0041436465,1.0,0.0,0.0,0.0,8.630607699999999,1.0,0.0,23.53922657,87.29390528
1059,1.0,4.0,27.126577484299997,11.0,6.0,0.0,1.0,8.709120741176474,0.0,0.0,23.53518693,87.29767705
540,1.0,2.0,166.52071631299998,1.0,3.0,0.0,1.0,5.5684203000000005,0.0,1.0,23.5524045,87.28695816
1194,1.0,2.0,776.2178707180002,1.0,0.0,0.0,1.0,8.737152,0.0,0.0,23.53084818,87.30450688
748,0.0,2.0,1649.71699454,3.0,4.0,0.0,2.0,9.303545285714286,0.0,0.0,23.51049422,87.31060217
1552,1.0,2.0,2249.66112308,1.0,0.0,0.0,1.0,8.692855499999999,1.0,0.0,23.52747485,87.31113564
1430,1.0,4.0,567.109261202,2.0,0.0,0.0,1.0,6.90259165,1.0,0.0,23.54427081,87.28849372
