Latitude,Longitude,Time
23.5036783333,87.3076816667,14:12:51
23.5036783333,87.3076816667,14:12:52
23.5036783333,87.3076816667,14:12:53
23.5036783333,87.3076816667,14:12:54
23.5036783333,87.3076816667,14:12:55
23.5036783333,87.3076816667,14:12:56
23.503665,87.307665,14:12:57
23.503645,87.3076483333,14:12:58
23.503625,87.3076333333,14:12:59
23.503605,87.3076166667,14:13:00
23.50358,87.3076166667,14:13:01
23.50356,87.3076,14:13:02
23.5035433333,87.3075833333,14:13:03
23.503535,87.3075833333,14:13:04
23.5035316667,87.3075833333,14:13:05
23.5035316667,87.3075833333,14:13:06
23.5035233333,87.3075833333,14:13:07
23.5035066667,87.3075683333,14:13:08
23.5034816667,87.3075516667,14:13:09
23.50345,87.307535,14:13:10
23.5034166667,87.3075183333,14:13:11
23.50338,87.3074866667,14:13:12
23.503335,87.30747,14:13:13
23.5032866667,87.3074366667,14:13:14
23.50323,87.307405,14:13:15
23.503165,87.3073716667,14:13:16
23.503095,87.30734,14:13:17
23.5030216667,87.3073066667,14:13:18
23.502945,87.3072916667,14:13:19
23.5028716667,87.307275,14:13:20
23.502795,87.3072416667,14:13:21
23.50273,87.30721,14:13:22
23.5026733333,87.30716,14:13:23
23.50262,87.3071116667,14:13:24
23.50257,87.3070466667,14:13:25
23.5025133333,87.3069983333,14:13:26
23.5024566667,87.3069483333,14:13:27
23.5023883333,87.3069,14:13:28
23.5023183333,87.3068516667,14:13:29
23.5022416667,87.3068033333,14:13:30
23.5021633333,87.3067533333,14:13:31
23.5020783333,87.306705,14:13:32
23.5019966667,87.3066566667,14:13:33
23.5019083333,87.3066066667,14:13:34
23.5018216667,87.3065583333,14:13:35
23.5017366667,87.30651,14:13:36
23.501655,87.30646,14:13:37
23.5015733333,87.3064116667,14:13:38
23.5014883333,87.3063466667,14:13:39
23.5014066667,87.3062983333,14:13:40
23.5013183333,87.30625,14:13:41
23.5012316667,87.3062,14:13:42
23.5011466667,87.3061516667,14:13:43
23.501065,87.3061183333,14:13:44
23.5009883333,87.30607,14:13:45
23.50091,87.3060383333,14:13:46
23.50083,87.3059883333,14:13:47
23.5007433333,87.3059566667,14:13:48
23.5006666667,87.30594,14:13:49
23.5005966667,87.3059233333,14:13:50
23.5005316667,87.3059233333,14:13:51
23.5004833333,87.3059233333,14:13:52
23.50045,87.30594,14:13:53
23.5004383333,87.30594,14:13:54
23.500435,87.30594,14:13:55
23.5004383333,87.30594,14:13:56
23.5004383333,87.30594,14:13:57
23.5004433333,87.30594,14:13:58
23.5004433333,87.30594,14:13:59
23.5004433333,87.30594,14:14:00
23.5004433333,87.30594,14:14:01
23.5004433333,87.30594,14:14:02
23.5004433333,87.30594,14:14:03
23.5004433333,87.30594,14:14:04
23.5004433333,87.30594,14:14:05
23.5004433333,87.30594,14:14:06
